,ID,start_time,end_time,reason,weather,regulation,longitude,latitude
1,1,7/9/2022 16:00,7/15/2022 15:00,landslide,heavy rain,road closed,132.4510763,34.3807884
2,2,7/9/2022 13:00,7/16/2022 17:00,other,unknown,road closed,132.4518595,34.37922173
